Occurrences,Gloss,readability (rounded average),lemma,pos
40667,it/he,1,هو,pron
36166,with/by_+_it/them/her#with/by_+_it/him#with/by_+_them_both#with/by_+_them_[masc.pl.]#with/by_+_me#with/by_+_them_[fem.pl.]#with/by_+_us#with/by_+_you_[masc.pl.]#with/by_+_you_both#with;by#with/by_+_you_[masc.sg.],1,ب,prep
34796,"all,_entire,_every,_whole",1,كل,noun_quant
33605,indeed,3,إن,verb_pseudo
32297,between/among,1,بين,noun
31706,after,1,بعد,noun
29980,see;think;believe#be_seen;be_thought;be_believed,1,رأى,verb
26582,today#days#day,1,يوم,noun
26093,"Or,_if_not,_unless,_except_if,_except_when",1,أو,conj
25648,"O,_oh",1,يا,part_voc
24817,"then,_afterwards,_next,_moreover",2,ثم,conj
24663,"But,_however,_yet,_still,_nevertheless,_on_the_other_hand",2,لكن,verb_pseudo
24622,same;self#selves#souls,1,نفس,noun
24472,presidents#president;head;chairman,1,رئيس,noun
23327,"If,_whether,_when,_whenever",1,إذا,conj_sub
23285,it/they/she,1,هي,pron
20568,matter;issue#matters;issues#orders;commands,2,أمر,noun
20053,first,1,أول,adj_num
19921,not;other,2,غير,noun
18621,man#men;people#leading_men;prominent_men,1,رجل,noun
17389,with/at#the_time_when_+_[def.acc.]_+_that,1,عند,noun
15973,year,2,عام,noun
15410,state;country#states;countries,1,دولة,noun
14757,something;thing#things,1,شيء,noun
14736,hand,1,يد,noun
14632,work;action#actions;activities;work,1,عمل,noun
14559,except_for,1,إلا,part_restrict
14076,know,1,عرف,verb
14071,return;go_back,1,عاد,verb
13644,number;quantity;issue#numbers;issues,1,عدد,noun
13592,"some,_a_few,_little,_part",1,بعض,noun_quant
13228,want;desire;intend#be_desired;be_intended,1,أراد,verb
13080,minister,3,وزير,noun
13013,one_(of);someone#ones#one_(of);someone;anyone;no-one,1,أحد,noun
12810,power;strength#power;forces#armed_forces,1,قوة,noun
12518,years#year,1,سنة,noun
12281,is;are_+_not_be#not_be,1,ليس,verb
12273,before,1,قبل,noun
11824,daughter#son;junior_(Jr.)#sons;children,1,ٱبن,noun
11720,during;through;(by)_means_(of);via;through,2,خلال,noun
11719,I,1,أنا,pron
11653,time;moment,4,آن,noun
11469,conclude;take_place,3,تم,verb
11194,second;next,1,ثاني,adj_num
11063,council;board#councils;boards,4,مجلس,noun
10909,country#countries#country;countries,1,بلد,noun
10745,other;another,1,آخر,adj
10729,new;modern#new,1,جديد,adj
10679,"As_to,_as_for,_as_far_as_he_(she,_it,_..etc)_is_concerned,_but,_however,_yet,_on_the_other_hand",3,أما,part_focus
10661,time;moment;opportunity#times;opportunities#when;while_+_[def.acc.]_+_that,3,حين,noun
10494,like;such_as#something_like_+_[def.acc]_+_as,1,مثل,noun
10397,so_that,1,حتى,conj_sub
10385,since;for;in;ago,2,منذ,prep
10305,find#be_found;exist,1,وجد,verb
10283,with/by_+_where;whereby;since;given_that#where;whereby;since;given_that,3,حيث,adv_rel
10282,large;great;important;major;senior#senior;important,1,كبير,adj
10234,do?;is?,1,هل,part_interrog
10206,any,1,أي,noun_quant
10030,know;find_out#know;be_aware#be_known;be_found_out,1,علم,verb
10007,name#in/by_+_(the)_Name_of_+_[def.gen.],1,ٱسم,noun
9951,"as,_when",1,لما,conj_sub
9929,hear;listen#be_heard;be_listened_to,1,سمع,verb
9718,doors;gates#door;gate,1,باب,noun
9718,eye#notables;VIP's#ain_(Arabic_letter),1,عين,noun
9710,"all,_entire,_every,_whole",1,جميع,noun_quant
9514,life#lives,1,حياة,noun
9493,front;forward,1,أمام,noun
9431,arrive;come;occur,1,جاء,verb
9397,many;much;numerous,1,كثير,adj
9338,hearts#overthrowing;toppling#heart;center;essence,1,قلب,noun
9318,government;administration#governments;administrations,2,حكومة,noun
9299,there,1,هناك,adv
9160,hours#hour;time,1,ساعة,noun
8970,other;another;additional#other;another#others;another,3,أخرى,adj
8733,reason;cause#reasons;causes;circumstances,1,سبب,noun
8709,"Rather,_even,_but,_yet,_however",3,بل,conj
8700,one,1,واحد,noun_num
8646,about;around;concerning,1,حول,noun
8602,road;way#roads;ways;means;methods,1,طريق,noun
8581,area;zone;territory#areas;zones;territories,2,منطقة,noun
8575,enter,1,دخل,verb
8489,city#cities,1,مدينة,noun
8446,"more,_most,_majority",1,أكثر,adj_comp
8396,go;depart,1,ذهب,verb
8387,side;aspect#sides;aspects,2,جانب,noun
8310,without;beneath;underneath;inferior;poor,4,دون,noun
8309,earth;territory;land#territories;land#earth;lands;territories,1,أرض,noun
8285,truth;right#rights;law,2,حق,noun
8205,disappear#cease;stop_being;stop_doing#not_+_cease;stop_being;stop_doing,3,زال,verb
8072,face;front#faces,1,وجه,noun
8057,people,1,ناس,noun
8056,affirm;assure;confirm;guarantee#be_affirmed;be_assured;be_confirmed;be_guaranteed,2,أكد,verb
8046,situation;condition;case#situations;conditions;cases,1,حال,noun
7808,matter;affair;case#affairs;matters,3,شأن,noun
7786,time;moment;period_of_time#moments;times#the_time_+_[def.acc.]_+_that,1,وقت,noun
7785,operation;mission;process#operations;missions;processes,1,عملية,noun
7706,united,3,متحد,adj
7684,look;observe;see;regard#look;see;observe#be_regarded;be_seen,1,نظر,verb
7672,way;manner;method;approach#areas,4,نحو,noun
7633,be_able;be_capable#be_possible;be_capable,1,ٱستطاع,verb
7616,"also,_too,_as_well_(as),_along_with,_in_addition_(to)",1,أيضا,adv
7583,you_[masc.sg.],1,أنت,pron
7581,take;begin#be_taken#take,1,أخذ,verb
7539,go_out;exit;leave,1,خرج,verb
7522,world,1,عالم,noun
7505,yesterday,1,أمس,noun
7504,head;top#heads;tops,1,رأس,noun
7471,international;world,3,دولي,adj
7379,companies;corporations#company;corporation,1,شركة,noun
7362,be_mentioned;be_cited#mention;cite;remember,2,ذكر,verb
7317,and,1,و,conj
7241,arrive_at;reach;connect#be_arrived_at;be_reached;be_connected,1,وصل,verb
7227,undertake;carry_out,2,قام,verb
7226,owner;originator#owners;originators,1,صاحب,noun
7221,houses;residences#house;residence,1,منزل,noun
7190,announce;declare#be_announced;be_declared,3,أعلن,verb
7150,call;invite#be_called;be_invited,2,دعا,verb
7127,if,1,لو,conj_sub
7125,occasion;time;moment#occasions;times;moments,1,مرة,noun
7101,past;bygone#incisive;keen;energetic;efficient#proceeding,3,ماضي,adj
7074,place;location;position#places;locations;positions,1,مكان,noun
7046,three,1,ثلاث,noun_num
7019,with;by,3,لدى,noun
6999,thousand#thousands,1,ألف,noun_num
6989,add,2,أضاف,verb
6948,vote,3,صوت,noun
6810,of;with,3,ذو,noun
6736,remain;last#stay;remain,1,بقي,verb
6690,special;specific,2,خاص,adj
6666,east;East,2,شرق,noun
6661,be_possible;make_possible_for,3,أمكن,verb
6645,state;province#states;provinces,4,ولاية,noun
6636,arrive;come;reach,2,أتى,verb
6633,political,4,سياسي,adj
6604,room;chamber#rooms;chambers,1,غرفة,noun
6482,indicate;mention;cite#be_indicated;be_mentioned;be_cited,4,أشار,verb
6458,become;begin;start,2,أصبح,verb
6428,ask;inquire;request#be_asked,1,سأل,verb
6369,make;bring_about;appoint,1,جعل,verb
6331,months#month,1,شهر,noun
6324,reach;attain,3,بلغ,verb
6311,house#verses,1,بيت,noun
6298,laying_down;putting;placing#conditions;situation;status,2,وضع,noun
6287,discussion;talk;interview#discussions;talks,1,حديث,noun
6265,last;latest;recent;latter,2,أخير,adj
6205,what,1,ماذا,pron_interrog
6162,goal;objective;intention#goals;objectives;intentions,1,هدف,noun
6142,and;as;also,3,كما,conj
6121,answer;reply;comply#be_answered;be_replied;be_complied,2,أجاب,verb
6096,union,3,ٱتحاد,noun
6008,here,1,هنا,adv
6007,yes,1,نعم,interj
5993,father#parents#father_+_my#fathers;ancestors,1,أب,noun
5958,former;previous;preceding,3,سابق,adj
5938,election;selection#elections;selections,3,ٱنتخاب,noun
5868,books#book,1,كتاب,noun
5838,family;people#qualified#families;indigenous_people#people;families;folk,1,أهل,noun
5802,love;affection,1,حب,noun
5801,be_killed#kill,1,قتل,verb
5781,love;like,1,أحب,verb
5781,they_[masc.pl],2,هم,pron
5731,movement;activity;organization,1,حركة,noun
5730,larger/largest;greater/greatest,1,أكبر,adj_comp
5697,project;enterprise#projects;enterprises,2,مشروع,noun
5686,statement;remark#statements;reports#statements;remarks,3,قول,noun
5668,do;act,1,فعل,verb
5628,wars#war;warfare,1,حرب,noun
5625,stop;halt;end#border;frontier;limits,3,حد,noun
5583,lady#ladies,1,سيدة,noun
5575,young_girls#young_girl,1,فتاة,noun
5575,king,1,ملك,noun
5561,"Then,_and_then,_as,_when,_while,_(and)_suddenly,_(and)_all_of_a_sudden",3,إذ,conj_sub
5533,opinion;view;idea#opinions;views;ideas,2,رأي,noun
5497,role;part#roles;parts,3,دور,noun
5462,millions#million,3,مليون,noun_num
5431,money;capital;funds#assets;capital;funds,1,مال,noun
5419,individual;person#individuals;persons,1,شخص,noun
5387,speech;statement;remark;talk;saying,1,كلام,noun
5355,request,1,طلب,verb
5345,castle;palace#castles;palaces,1,قصر,noun
5345,saying,2,قائل,adj
5332,army;troops,1,جيش,noun
5302,while;as;during,4,فيما,conj_sub
5254,security;safety,1,أمن,noun
5208,party;band#parties;bands,4,حزب,noun
5181,sector;section#sectors;sections,4,قطاع,noun
5101,start;begin,1,بدأ,verb
5076,pictures;photographs;illustrations;photos#picture;image;illustration;photo,1,صورة,noun
5037,team;band;group;faction;party#lieutenant_generals#factions;parties;groups,1,فريق,noun
5007,ministry#ministries,3,وزارة,noun
4990,"not,_never,_nevermore",2,لن,part_neg
4963,offer;present;introduce#be_offered;be_presented;be_introduced,1,قدم,verb
4926,middle;central,2,أوسط,adj_comp
4912,for_sake_of;because_of,5,أجل,noun
4909,fall_down;take_place;be_located,1,وقع,verb
4897,children;infants#child;boy#child;girl,1,طفل,noun
4885,foreign;outside;outer,2,خارجي,adj
4866,center;station#centers;stations,2,مركز,noun
4861,human_being,1,إنسان,noun
4857,hundreds#hundred,1,مئة,noun_num
4845,brothers#brother#brother_+_my,1,أخ,noun
4808,think;believe;presume,3,ظن,verb
4796,ratios;rates;percentage_figures#ratio;rate;percentage_figure,3,نسبة,noun
4770,achievement;realization#achievements;realizations,2,تحقيق,noun
4737,father#mother#parents;father_and_mother,1,والد,noun
4726,problem;issue#problems;issues,3,قضية,noun
4715,be_necessary;be_incumbent,3,وجب,verb
4714,carry;bear;transport,1,حمل,verb
4701,official;functionary,3,مسؤول,noun
4696,"as_if,_as_though,_like",1,كأن,verb_pseudo
4693,friend#friends,1,صديق,noun
4676,service;assistance#services;assistance,2,خدمة,noun
4670,appear;seem,4,بدا,verb
4658,almost;hardly;no_sooner#deceive;harm,4,كاد,verb
4655,same;self;essence#selves;beings#having;possessing,4,ذات,noun
4591,manners/types;forms;configurations#manner;form;configuration,1,شكل,noun
4584,present;current,3,حالي,adj
4576,national,2,وطني,adj
4562,deputy;delegate;vice-#deputies;delegates,3,نائب,noun
4553,side;part;direction,2,جهة,noun
4551,power;authority;rule#authorities#powers;authorities;rules,3,سلطة,noun
4540,visiting#visits#visit,1,زيارة,noun
4529,connection;relation;link#ties;relations;contacts;links#straps;cords,1,علاقة,noun
4510,mother;maternal#mothers,1,أم,noun
4508,agency#agencies,4,وكالة,noun
4506,points;locations;positions#point;location;position,1,نقطة,noun
4501,decision;resolution#decisions;resolutions,2,قرار,noun
4489,source#sources,3,مصدر,noun
4486,in_spite_of;despite,3,رغم,noun
4483,but_rather;indeed,4,إنما,part_restrict
4477,under,1,تحت,noun
4457,absence_of;lack_of;not;non-,4,عدم,noun
4453,judgment;decision;verdict#statutes;laws,3,حكم,noun
4449,dollars#dollar,2,دولار,noun
4447,members#member,2,عضو,noun
4426,regime;government#systems#regimes;governments;systems,1,نظام,noun
4425,result;consequence#results;consequences,1,نتيجة,noun
4424,people;nation#peoples;nations,1,شعب,noun
4406,nation;people#nations;peoples,3,أمة,noun
4398,next;coming;approaching,3,مقبل,adj
4393,consider;regard;believe#be_considered;be_regarded;be_believed,2,ٱعتبر,verb
4389,words;remarks#word;remark;speech,1,كلمة,noun
4367,increase;exceed;add#add_(to)#be_increased;be_added,1,زاد,verb
4367,peace#anthem;song#greetings;salutations,2,سلام,noun
4355,stop;cease;stand,1,وقف,verb
4348,how,2,كيف,adv_interrog
4329,intense;strong;severe,1,شديد,adj
4322,happen;take_place,1,حدث,verb
4317,administration;management;bureau,1,إدارة,noun
4313,we,1,نحن,pron
4309,collection;group;bloc#collections;groups,1,مجموعة,noun
4230,secret#secrets,1,سر,noun
4223,tall;long,1,طويل,adj
4210,take_place;be_installed;be_established#install;establish;erect,3,أقام,verb
4181,write#be_written;be_fated;be_destined,1,كتب,verb
4163,night;evening;soire#nights;evenings;soires,1,ليلة,noun
4159,according_to;in_accordance_with#according_to_+_[def.acc.]_+_what,2,حسب,noun
4146,presence;existence,2,وجود,noun
4145,condition;case;situation#cases;situations;instances,2,حالة,noun
4126,where,1,أين,adv_interrog
4086,military;army,3,عسكري,adj
4073,meeting;encounter;interview#meetings;encounters;interviews,2,لقاء,noun
4061,feel;be_aware,1,شعر,verb
4055,club;association#clubs;associations,1,نادي,noun
4051,conference;convention,4,مؤتمر,noun
4043,leaders;commanders#leader;commander#driver;chauffeur;pilot,2,قائد,noun
4020,papers;sheets#paper;sheet,1,ورق,noun
4017,water#water;waters,1,ماء,noun
3998,seriousness;earnestness,3,جد,noun
3991,laws;regulations;rules;statutes#law;statutes;regulations,3,قانون,noun
3975,way;road#ways;roads,3,سبيل,noun
3970,third,1,ثالث,adj_num
3967,truth;reality#truth;facts,1,حقيقة,noun
3962,no_+_avoiding;escaping_(it's_inevitable)_+_[def.acc.]#escape;avoiding,4,بد,noun
3949,match;game;competition#matches;games;competitions,1,مباراة,noun
3941,expect;wait_for#be_expected;be_waited_for,1,ٱنتظر,verb
3940,phases;stages;rounds#phase;stage;round,3,مرحلة,noun
3936,leave;quit#be_left;be_abandoned,1,ترك,verb
3933,market,1,سوق,noun
3932,participant;player;involved_member#parties;sides,4,طرف,noun
3932,council;committee;commission#councils;committees;commissions,2,لجنة,noun
3931,move;march,2,سار,verb
3923,inside_of;interior;inside,1,داخل,noun
3916,behind;past;beyond,1,وراء,noun
3913,strike;afflict#be_hit;be_struck;be_afflicted,2,أصاب,verb
3887,meeting;gathering;society#meetings;gatherings,1,ٱجتماع,noun
3862,house;home#homes;abodes#houses;homes,2,دار,noun
3861,agreement;accord;treaty#agreements;accords;treaties,1,ٱتفاق,noun
3859,international;world-wide;world,3,عالمي,adj
3850,spouses;husbands#spouse;husband#married_couple,1,زوج,noun
3848,program,1,برنامج,noun
3846,letters;messages#letter;communication#mission;task,1,رسالة,noun
3844,prices;rates#price;rate,1,سعر,noun
3829,above;over;top;upper_part,1,فوق,noun
3828,economic;economical,3,ٱقتصادي,adj
3820,attempt;try,1,حاول,verb
3804,occur;happen;take_place;flow,2,جرى,verb
3797,position,2,موقف,noun
3752,street#legislator#streets,1,شارع,noun
3748,sit,1,جلس,verb
3748,financial;monetary,4,مالي,adj
3740,car;automobile;vehicle#cars;automobiles;vehicles,1,سيارة,noun
3739,level;standard#levels;standards,1,مستوى,noun
3714,small;young,1,صغير,adj
3706,politics#policies#policy,4,سياسة,noun
3700,week,1,أسبوع,noun
3683,worker#factors;agents#workers,1,عامل,noun
3656,communiqu;statement;declaration,3,بيان,noun
3648,opportunity;chance#opportunities;chances,2,فرصة,noun
3586,ball;globe;sphere#balls;globes;spheres,1,كرة,noun
3574,discussion#research,3,بحث,noun
3572,area;field;arena;context;opportunity#areas;fields;arenas;contexts,4,مجال,noun
3557,police,1,شرطة,noun
3553,death,1,موت,noun
3550,execute;perform;decree;pass/spend_(time)#be_sentenced,3,قضى,verb
3540,woman,1,مرأة,noun
3528,tomorrow,1,غد,noun
3519,news;report#news;reports,1,خبر,noun
3500,witness;observe,3,شهد,verb
3499,in_order_+_that#in_order_+_not_to#in_order_(to);so_(that);for,3,كي,conj_sub
3485,solution;dissolution;cancellation#solutions;dissolutions;cancellations,1,حل,noun
3470,night;nighttime,1,ليل,noun
3459,direct;guide;lead#be_directed;be_guided;be_lead,3,أدى,verb
3449,security;safety,3,أمني,adj
3432,contrary;against;opposed;anti-;counter-#opposites,3,ضد,noun
3430,knowledge;authorization#treaty#treaties,4,عهد,noun
3427,north;North,2,شمال,noun
3426,victory,1,فوز,noun
3420,university#universities,1,جامعة,noun
3405,want;desire;wish,3,شاء,verb
3403,push;motivate;pay#be_pushed;be_motivated;be_paid,1,دفع,verb
3402,cooperation,1,تعاون,noun
3393,morning,1,صباح,noun
3392,five,1,خمس,noun_num
3390,discharge;dismissal#sections;chapters#section;chapter;season,1,فصل,noun
3389,soldiers#soldier,1,جندي,noun
3388,problems;inconveniences;issues#problem;issue#problems;issues,1,مشكلة,noun
3384,great;powerful,2,عظيم,adj
3380,youth;youths#youth#young_woman,2,شب,noun
3358,deliver;throw;arrest;place_(blame)#be_delivered;be_thrown#be_arrested;be_placed_(blame)#be_delivered;be_thrown;be_placed_(blame),1,ألقى,verb
3346,least;smallest;minimum,1,أقل,adj_comp
3337,clarify;explain;indicate#be_clarified;be_explained;be_indicated,3,أوضح,verb
3330,outside;outer_part,1,خارج,noun
3328,organization,4,منظمة,noun
3319,present;advance,3,تقدم,verb
3309,little;few;small#few;insufficient,1,قليل,adj
3306,conducting;undertaking;carrying_out#measures;steps,4,إجراء,noun
3298,institution;organization#institutions;organizations,4,مؤسسة,noun
3294,defense,2,دفاع,noun
3288,constructing;building#structures;edifices;buildings,2,بناء,noun
3283,phases;time_periods;intervals#phase;time_period;interval,1,فترة,noun
3265,servant;attendant#servants;attendants#(web)_servers_(computers),2,خادم,noun
3258,end;termination,1,نهاية,noun
3246,four,1,أربع,noun_num
3240,pilgrimage,1,حجة,noun
3237,other_than;except_for#other_than#equality,4,سوى,noun
3235,crises#crisis,3,أزمة,noun
3231,official,3,رسمي,adj
3209,children#child;son,1,ولد,noun
3204,scream;call_out,2,صاح,verb
3202,speak;discuss,1,تحدث,verb
3201,nuclear;atomic;nucleic,4,نووي,adj
3194,send;transmit#be_sent;be_transmitted,1,أرسل,verb
3190,master;lord#masters;lords,2,مولى,noun
3173,woman,1,ٱمرأة,noun
3170,reports;accounts#decision;determination#report;account,3,تقرير,noun
3162,prisons#prison,1,سجن,noun
3150,exertion;endeavor#efforts,4,جهد,noun
3143,opening;beginning#conquests;achievements,1,فتح,noun
3138,question;inquiry#questions;inquiries,1,سؤال,noun
3133,lift;raise;increase#be_lifted;be_raised;be_increased,1,رفع,verb
3112,hope;wish#hopes;wishes,1,أمل,noun
3099,organization;agency#organizations;agencies,4,هيئة,noun
3098,weapon#weapons,1,سلاح,noun
3069,date;history#dates;histories,1,تاريخ,noun
3067,director;manager;chief#directors;managers,1,مدير,noun
3066,need,2,حاجة,noun
3065,south,2,جنوب,noun
3059,danger;threat;menace#dangers,1,خطر,noun
3039,be_concluded;be_completed,2,ٱنتهى,verb
3035,society#societies,2,مجتمع,noun
3032,support;assistance;endorsement,3,دعم,noun
3030,championship;starring_role;heroism,1,بطولة,noun
3030,distinction;quality#good_graces;goodwill;merits;favors,3,فضل,noun
3028,appear;emerge,2,ظهر,verb
3027,good,1,خير,noun
3022,holding;concluding;convening#contracts;agreements#contract;agreement,3,عقد,noun
3022,continue;proceed,4,مضى,verb
3005,live;experience#be_lived;be_experienced,1,عاش,verb
2994,near;close,1,قريب,adj
2993,why,1,لماذا,adv_interrog
2971,center;environment#circles;quarters;environments,1,وسط,noun
2968,young_man#young_men,1,شاب,noun
2961,incident;event#incidents;events,2,حادث,noun
2947,value;worth#values;morals;ethics,2,قيمة,noun
2944,doubt#doubts#no_+_doubt_(without_a_doubt),3,شك,noun
2941,garments;clothes#garment;robe,1,ثوب,noun
2934,whereas;while,2,بينما,conj_sub
2930,doctor;Doctor;Dr.#doctors,1,دكتور,noun
2923,near;proximity;nearness,2,قرب,noun
2898,obtain;acquire;get#be_obtained;be_acquired,1,حصل,verb
2893,ten_(in_numbers_11-19),2,عشر,noun_num
2885,machine;apparatus;device;appliance;system;equipment#machines;equipment;devices;appliances,1,جهاز,noun
2884,presidency;leadership;chairmanship#presidencies;leaderships;chairmanships,2,رئاسة,noun
2877,chest;bosom#chests,1,صدر,noun
2872,be_released;be_fired#release;fire,2,أطلق,verb
2869,look;glance;view#looks;glances;views,2,نظرة,noun
2864,fire;shooting,1,نار,noun
2853,mean;signify;concern#be_concerned_(with)#be_meant;be_signified#concern,3,عنى,verb
2835,believe,2,ٱعتقد,verb
2830,comprehend;realize#be_comprehended;be_realized,3,أدرك,verb
2828,entrance;penetration,1,دخول,noun
2817,evening,1,مساء,noun
2808,remain;continue,3,ظل,verb
2805,return,2,عودة,noun
2795,physician;doctor#physicians;doctors,1,طبيب,noun
2791,women,1,نساء,noun
2784,player;athlete,1,لاعب,noun
2783,releasing;launching,4,إطلاق,noun
2780,court;tribunal#courts;tribunals,2,محكمة,noun
2755,only,2,فقط,adv
2754,capital_city#capital_cities,3,عاصمة,noun
2749,permission;authorization#bonds,1,إذن,noun
2746,education;teaching#precepts#instructions,1,تعليم,noun
2744,addition;appending,3,إضافة,noun
2744,die;pass_away,1,مات,verb
2723,give;provide#be_given;be_provided#give;hand_over,2,أعطى,verb
2719,arriving;coming;proceeding,1,قادم,adj
2718,banks#bank,1,بنك,noun
2717,blood,1,دم,noun
2691,arrival;achievement#receipt;voucher,1,وصول,noun
2680,newspapers#newspaper,3,صحيفة,noun
2679,show;manifest;demonstrate#be_shown;be_manifest;be_demonstrated,3,أظهر,verb
2673,subject;theme;issue#subjects;themes;issues,1,موضوع,noun
2671,course;motion;march#drive_belt#drive_belts,3,سير,noun
2667,age;life#ages;age_groups,1,عمر,noun
2656,steps;strides#step;stride,1,خطوة,noun
2655,perhaps;maybe,2,ربما,adv
2643,reply;response#replies;responses,1,رد,noun
2638,transfer;transport;transmit;translate#be_transferred;be_transported;be_transmited;be_translated,2,نقل,verb
2630,exit;getting_out;departure;deviation,1,خروج,noun
2624,think;consider;ponder,1,فكر,verb
2617,contact;communication,1,ٱتصال,noun
2613,different;various,1,مختلف,adj
2612,position;location;site#positions;locations;sites,2,موقع,noun
2610,associations;societies#association;society,3,جمعية,noun
2602,declaration;statement#declarations;statements,3,تصريح,noun
2601,understand#be_understood,1,فهم,verb
2601,pass;go_through,1,مر,verb
2593,across;over;via;by_means_of;crossing,2,عبر,noun
2590,alone;only,4,وحد,noun
2586,matter;issue;regard;respect,3,خصوص,noun
2585,six,2,ست,noun_num
2584,local,4,محلي,adj
2582,implementation;execution;carrying_out,3,تنفيذ,noun
2579,become;begin_to#lead_(to);conclude_(with),2,صار,verb
2570,secretary#trustees;secretaries,4,أمين,noun
2570,seated_firmly;not_budging,5,قعدة,noun
2567,in_exchange_for;in_compensation_for,3,مقابل,noun
2550,wife#wives,1,زوجة,noun
2548,strive;pursue,3,سعى,verb
2544,assistance;aid;support;help,1,مساعدة,noun
2542,summit,3,قمة,noun
2530,plan;project#plans;projects,1,خطة,noun
2523,social,3,ٱجتماعي,adj
2512,vehicle;carriage;craft,3,مركبة,noun
2508,minute,1,دقيقة,noun
2503,interest;advantage;favor#interests;advantages;favor,3,مصلحة,noun
2496,"O,_oh",2,أيها,part_voc
2492,type;kind;form#types;kinds;forms,1,نوع,noun
2491,request;hope_for;plead_to#be_requested;be_hoped_for;be_pleaded_to,3,رجا,verb
2489,framework;context#frameworks;contexts,3,إطار,noun
2480,families;communities#family;community,1,أسرة,noun
2478,know;be_aware_of;notice#be_known;be_noticed,3,درى,verb
2470,achieve;realize;reach#be_achieved;be_realized;be_reached,2,حقق,verb
2467,fear;be_afraid,3,خشي,verb
2463,conversation;dialogue;discussion#dialogue;discussions;talks,2,حوار,noun
2463,spirit;soul#spirits;souls,1,روح,noun
2462,participation;association,2,مشاركة,noun
2458,religion,1,دين,noun
2455,better/best,1,أفضل,adj_comp
2453,fear,1,خوف,noun
2450,means;device;instrument#means;devices;instruments,2,وسيلة,noun
2437,laugh,1,ضحك,verb
2436,habit;custom;practice#customs;practices;habits#taxes;charges,3,عادة,noun
2435,billion,3,مليار,noun_num
2427,report;inform;provide#be_reported;be_provided,4,أفاد,verb
2426,return;repetition;re-(doing),1,إعادة,noun
2425,violence;force,3,عنف,noun
2423,leader;head_of_state#leaders;heads_of_state,1,زعيم,noun
2417,confrontation;encounter;confronting;encountering#confrontations;encounters,2,مواجهة,noun
2412,declaration;statement;announcement#declarations;statements;announcements,1,إعلان,noun
2398,linger;remain;persist,4,لبث,verb
2395,creature;living_thing#creatures;living_things,1,حي,noun
2383,call;invitation;supplication#calls;invitations;supplications,2,دعوة,noun
2376,unity#unit#units,4,وحدة,noun
2375,half,1,نصف,noun_quant
2374,record;trace;effect#records;traces;effects,2,أثر,noun
2373,party;group;squad#groups;parties;squads,1,جماعة,noun
2372,leadership;command#leaders;commanders,3,قيادة,noun
2368,enemies#enemy,2,عدو,noun
2367,school,1,مدرسة,noun
2361,meet;encounter#be_met;be_encountered;be_held_(meeting),2,ٱلتقى,verb
2355,bureau;office;department#bureaus;offices,1,مكتب,noun
2354,west;western;westerner,3,غربي,adj
2349,expect;count_on;anticipate#be_expected;be_counted_on;be_anticipated,1,توقع,verb
2343,anger;wrath,1,غضب,noun
2341,students#student#requesting,1,طالب,noun
2341,film;movie#films;movies,1,فيلم,noun
2338,increase;addition,1,زيادة,noun
2338,travel;trip#journeys,1,سفر,noun
2328,reject;refuse#be_rejected;be_refused,1,رفض,verb
2326,invest;investing#investments,3,ٱستثمار,noun
2318,during;meanwhile;meantime,2,أثناء,noun
